     Index              y_true              y_pred        descriptor_1
         1    0.6006992120E+00    0.5518348840E+00    0.9738077408E-03
         2    0.4519935600E+00    0.6646438094E+00    0.1169696222E-02
         3    0.3924364030E+00    0.5264731202E+00    0.9297679862E-03
         4    0.7025857790E+00    0.5900236844E+00    0.1040121165E-02
         5    0.4491315750E+00    0.5232081734E+00    0.9240985283E-03
         6    0.6358013840E+00    0.5884684560E+00    0.1037420569E-02
         7    0.5386807830E+00    0.4775128325E+00    0.8447502772E-03
         8    0.3904408290E+00    0.4880917319E+00    0.8631201405E-03
         9    0.5687926740E+00    0.5352523519E+00    0.9450127939E-03
        10    0.5701668100E+00    0.6061348191E+00    0.1068097548E-02
        11    0.7830791230E+00    0.5600228962E+00    0.9880259179E-03
        12    0.3389934070E+00    0.3802172994E+00    0.6758002217E-03
        13    0.5422868930E+00    0.6309056162E+00    0.1111111111E-02
        14    0.4083981890E+00    0.4426410269E+00    0.7841966907E-03
        15    0.4505353050E+00    0.4880917319E+00    0.8631201405E-03
        16    0.5962393880E+00    0.7496854728E+00    0.1317367891E-02
        17    0.5713814350E+00    0.6537772535E+00    0.1150826854E-02
        18    0.4310075360E+00    0.6646438094E+00    0.1169696222E-02
        19    0.7164084370E+00    0.6803147135E+00    0.1196908161E-02
        20    0.2567336940E+00    0.3153536106E+00    0.5631668514E-03
        21    0.4077531310E+00    0.5500134915E+00    0.9706449608E-03
        22    0.7105166780E+00    0.7166580805E+00    0.1260017059E-02
        23    0.4890713170E+00    0.4830414610E+00    0.8543505340E-03
        24    0.5199457070E+00    0.5600228962E+00    0.9880259179E-03
        25    0.6157319820E+00    0.6309056162E+00    0.1111111111E-02
        26    0.5182931730E+00    0.6309056162E+00    0.1111111111E-02
        27    0.3630061000E+00    0.4775128325E+00    0.8447502772E-03
        28    0.3963978240E+00    0.4709380040E+00    0.8333333333E-03
        29    0.5180288980E+00    0.4462253504E+00    0.7904207343E-03
        30    0.8333929320E+00    0.7049524377E+00    0.1239690648E-02
        31    0.3693667260E+00    0.3564955057E+00    0.6346082139E-03
