File Name,down,right,up,left,t,l,L,E,Young's Modulus (MPa),Volume Fraction,Dense strain,SEA,Mass,EYM,Critical Strain,PS
60mm_1_001,180,180,180,180,0.8,15,25,427.384,19.92438351,0.213333333,0.701333333,706.8183281,0.019392,0.046619395,0.050432233,0.218547883
60mm_1_002,180,180,180,150,0.8,15,25,427.384,7.067000866,0.215214733,0.698699374,322.0840078,0.019563019,0.016535483,0.013750337,0.100844923
60mm_1_003,180,180,180,120,0.8,15,25,427.384,6.550032479,0.221584042,0.689782342,334.4156098,0.020141989,0.015325872,0.013749752,0.108080174
60mm_1_004,180,180,180,90,0.8,15,25,427.384,0.988755021,0.235424723,0.670405387,403.3801467,0.021400107,0.002313505,0.013749804,0.144862188
60mm_1_005,180,180,150,180,0.8,15,25,427.384,33.79184679,0.215214732,0.698699375,550.8251258,0.019563019,0.07906671,0.022917364,0.170068503
60mm_1_006,180,180,150,150,0.8,15,25,427.384,3.961653511,0.217096132,0.696065416,296.9848998,0.019734038,0.009269541,0.01374989,0.094111345
60mm_1_007,180,180,150,120,0.8,15,25,427.384,2.306958998,0.223465441,0.687148383,335.5509627,0.020313009,0.00539786,0.013750609,0.109622047
60mm_1_008,180,180,150,90,0.8,15,25,427.384,5.153159074,0.237306122,0.667771429,425.8110717,0.021571127,0.012057445,0.013749397,0.154695396
60mm_1_009,180,180,120,180,0.8,15,25,427.384,26.10105589,0.221584041,0.689782342,564.7394223,0.020141989,0.061071673,0.041240962,0.18341147
60mm_1_010,180,180,120,150,0.8,15,25,427.384,10.96868514,0.22346544,0.687148383,362.3197326,0.020313009,0.025664707,0.013750915,0.118401661
60mm_1_011,180,180,120,120,0.8,15,25,427.384,10.28501049,0.22983475,0.67823135,446.0560342,0.020891979,0.024065034,0.013750459,0.152300043
60mm_1_012,180,180,120,90,0.8,15,25,427.384,1.659517968,0.243675431,0.658854396,536.247035,0.022150097,0.003882967,0.01375099,0.20364222
60mm_1_013,180,180,90,180,0.8,15,25,427.384,16.68206941,0.235424723,0.670405387,641.6631476,0.021400107,0.039032976,0.032083944,0.229325931
60mm_1_014,180,180,90,150,0.8,15,25,427.384,9.537871886,0.237306123,0.667771428,532.2377372,0.021571127,0.022316867,0.022916971,0.19576765
60mm_1_015,180,180,90,120,0.8,15,25,427.384,3.791167469,0.243675432,0.658854396,644.1631427,0.022150097,0.008870635,0.11455698,0.267998895
60mm_1_016,180,180,90,90,0.8,15,25,427.384,12.8328008,0.257516113,0.639477441,769.9071765,0.023408215,0.030026395,0.022917259,0.315753664
60mm_1_017,180,150,180,150,0.8,15,25,427.384,3.635789879,0.217096132,0.696065416,307.2763427,0.019734038,0.00850708,0.022911958,0.097549446
60mm_1_018,180,150,180,120,0.8,15,25,427.384,1.953367974,0.223465441,0.687148383,314.6920881,0.020313009,0.004570522,0.022912304,0.104720032
60mm_1_019,180,150,180,90,0.8,15,25,427.384,1.696486684,0.237306122,0.667771429,384.5428929,0.021571127,0.003969467,0.022912413,0.140051627
60mm_1_020,180,150,150,150,0.8,15,25,427.384,4.40398954,0.218977531,0.693431457,290.6906485,0.019905058,0.010304526,0.013751418,0.093896938
60mm_1_021,180,150,150,120,0.8,15,25,427.384,1.900834788,0.22534684,0.684514424,318.7231524,0.020484028,0.004447604,0.013750535,0.107711424
60mm_1_022,180,150,150,90,0.8,15,25,427.384,1.721101438,0.239187521,0.66513747,408.6304135,0.021742146,0.004027061,0.013749489,0.148809763
60mm_1_023,180,150,120,150,0.8,15,25,427.384,3.035252533,0.22534684,0.684514425,358.0583283,0.020484028,0.007101933,0.013750519,0.11911694
60mm_1_024,180,150,120,120,0.8,15,25,427.384,2.347834431,0.231716149,0.675597392,422.3708316,0.021062998,0.005493501,0.013751209,0.149118407
60mm_1_025,180,150,120,90,0.8,15,25,427.384,1.582871777,0.24555683,0.656220438,520.4517427,0.022321116,0.003703629,0.022914743,0.203049281
60mm_1_026,180,150,90,150,0.8,15,25,427.384,3.668749733,0.239187522,0.66513747,536.2785563,0.021742146,0.0085842,0.022915143,0.200560407
60mm_1_027,180,150,90,120,0.8,15,25,427.384,2.25027634,0.245556831,0.656220437,656.2494093,0.022321116,0.005265233,0.123693403,0.284672906
